dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.25,Analytical vs GT,23.997827529907227,24.180469512939453,2.863020658493042
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.25,Neural vs GT,19.3900089263916,19.18450355529785,1.7279438972473145
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.25,Neural vs Analytical,21.384157180786133,21.06723403930664,1.5810024738311768
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.3,Analytical vs GT,23.117145538330078,22.882495880126953,2.801236152648926
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.3,Neural vs GT,18.859798431396484,18.74580955505371,1.6117099523544312
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.3,Neural vs Analytical,21.053165435791016,21.161104202270508,1.6831350326538086
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.35,Analytical vs GT,21.615066528320312,21.755083084106445,2.56903338432312
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.35,Neural vs GT,18.313039779663086,18.238523483276367,1.3751381635665894
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.35,Neural vs Analytical,20.837535858154297,21.066701889038086,1.6343199014663696
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.4,Analytical vs GT,21.0063419342041,21.02447509765625,2.2825629711151123
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.4,Neural vs GT,18.243484497070312,17.984235763549805,1.456534743309021
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.4,Neural vs Analytical,21.167560577392578,21.379657745361328,2.110579490661621
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.45,Analytical vs GT,20.180158615112305,20.00731658935547,2.1094970703125
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.45,Neural vs GT,17.737201690673828,17.58407211303711,1.5802342891693115
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.45,Neural vs Analytical,21.554546356201172,21.621999740600586,2.2415201663970947
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.5,Analytical vs GT,19.04381561279297,19.15017318725586,1.8453121185302734
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.5,Neural vs GT,17.351816177368164,17.259021759033203,1.3926042318344116
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.5,Neural vs Analytical,22.11121940612793,22.248241424560547,2.299475908279419
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.6,Analytical vs GT,17.490230560302734,17.709360122680664,1.8010501861572266
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.6,Neural vs GT,16.55111312866211,16.65412712097168,1.477448582649231
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.6,Neural vs Analytical,23.787412643432617,23.696382522583008,2.508049488067627
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.7,Analytical vs GT,16.990482330322266,16.850013732910156,1.3328981399536133
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.7,Neural vs GT,16.202484130859375,16.25061798095703,1.2678104639053345
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.7,Neural vs Analytical,25.514850616455078,25.22418785095215,2.523087501525879
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.8,Analytical vs GT,16.137950897216797,16.065719604492188,1.1905683279037476
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.8,Neural vs GT,15.76273250579834,15.82653522491455,1.2716989517211914
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.8,Neural vs Analytical,26.928007125854492,26.773752212524414,2.359726905822754
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.9,Analytical vs GT,15.370674133300781,15.457183837890625,1.3080048561096191
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.9,Neural vs GT,15.219879150390625,15.329445838928223,1.34768807888031
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.9,Neural vs Analytical,27.656187057495117,27.345291137695312,1.9821380376815796
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,1.0,Analytical vs GT,15.398706436157227,15.252371788024902,1.3781702518463135
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,1.0,Neural vs GT,15.244356155395508,15.128654479980469,1.3924952745437622
CIFAR10,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,1.0,Neural vs Analytical,28.519987106323242,28.564607620239258,2.10298752784729
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.01,Analytical vs GT,80.0,80.0,0.0
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.01,Neural vs GT,30.35991668701172,30.174428939819336,1.7992314100265503
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.01,Neural vs Analytical,30.35991668701172,30.174428939819336,1.7992314100265503
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.02,Analytical vs GT,80.0,79.11471557617188,3.7757976055145264
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.02,Neural vs GT,28.564472198486328,28.54085922241211,1.7149454355239868
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.02,Neural vs Analytical,28.564472198486328,28.541086196899414,1.714840054512024
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.03,Analytical vs GT,80.0,77.55259704589844,6.477042198181152
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.03,Neural vs GT,27.53929901123047,27.45446014404297,1.6088943481445312
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.03,Neural vs Analytical,27.53931427001953,27.455034255981445,1.6091383695602417
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.04,Analytical vs GT,79.99411010742188,73.41352081298828,10.483973503112793
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.04,Neural vs GT,26.688018798828125,26.654949188232422,1.601057767868042
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.04,Neural vs Analytical,26.688026428222656,26.65985870361328,1.606440544128418
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.05,Analytical vs GT,79.9547119140625,71.3476791381836,12.534205436706543
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.05,Neural vs GT,26.0517578125,26.061506271362305,1.504070520401001
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.05,Neural vs Analytical,26.074420928955078,26.070068359375,1.5066252946853638
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.06,Analytical vs GT,71.35502624511719,66.87057495117188,13.770142555236816
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.06,Neural vs GT,25.59792137145996,25.5179500579834,1.5211577415466309
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.06,Neural vs Analytical,25.62421417236328,25.537919998168945,1.5182723999023438
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.07,Analytical vs GT,59.97142791748047,62.46464920043945,15.609840393066406
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.07,Neural vs GT,24.967918395996094,24.96124267578125,1.5422570705413818
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.07,Neural vs Analytical,24.981830596923828,24.992420196533203,1.5472052097320557
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.08,Analytical vs GT,54.337989807128906,58.745113372802734,14.35197925567627
