dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.3,Neural vs GT,14.098077774047852,14.125222206115723,1.8363804817199707
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.3,Neural vs Analytical,21.723939895629883,21.69744110107422,3.0055460929870605
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.35,Analytical vs GT,14.529226303100586,14.453577995300293,1.9946171045303345
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.35,Neural vs GT,13.629486083984375,13.619693756103516,1.8667473793029785
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.35,Neural vs Analytical,21.910415649414062,21.954357147216797,3.0324978828430176
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.4,Analytical vs GT,14.03291130065918,14.113286972045898,2.140129327774048
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.4,Neural vs GT,13.4783935546875,13.456607818603516,1.9731872081756592
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.4,Neural vs Analytical,22.59908103942871,22.272932052612305,3.036255359649658
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.45,Analytical vs GT,13.586416244506836,13.678291320800781,1.7863891124725342
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.45,Neural vs GT,12.912982940673828,13.117463111877441,1.7923325300216675
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.45,Neural vs Analytical,22.398733139038086,22.49313735961914,3.097902774810791
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.5,Analytical vs GT,12.87641716003418,13.178153038024902,1.880068302154541
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.5,Neural vs GT,12.548591613769531,12.760079383850098,1.949173927307129
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.5,Neural vs Analytical,23.20330047607422,23.094581604003906,3.5308845043182373
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.6,Analytical vs GT,12.651784896850586,12.580766677856445,1.653903603553772
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.6,Neural vs GT,12.061025619506836,12.267573356628418,1.7567611932754517
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.6,Neural vs Analytical,23.75949478149414,23.45709800720215,2.6389570236206055
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.7,Analytical vs GT,11.859476089477539,12.263692855834961,1.9029309749603271
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.7,Neural vs GT,11.572198867797852,12.036585807800293,1.9604943990707397
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.7,Neural vs Analytical,24.04802703857422,24.349340438842773,3.263258695602417
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.8,Analytical vs GT,11.654556274414062,11.801435470581055,1.804038643836975
