dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.4,Neural vs GT,13.644181251525879,13.82050895690918,2.119969606399536
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.4,Neural vs Analytical,22.655357360839844,22.510602951049805,2.249631643295288
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.45,Analytical vs GT,13.586416244506836,13.678291320800781,1.7863891124725342
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.45,Neural vs GT,13.039205551147461,13.481047630310059,1.92100989818573
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.45,Neural vs Analytical,22.923355102539062,22.565736770629883,2.1216132640838623
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.5,Analytical vs GT,12.87641716003418,13.178153038024902,1.880068302154541
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.5,Neural vs GT,12.750856399536133,13.074516296386719,1.975858449935913
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.5,Neural vs Analytical,23.58775520324707,23.306154251098633,2.1631484031677246
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.6,Analytical vs GT,12.651784896850586,12.580766677856445,1.653903603553772
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.6,Neural vs GT,12.488374710083008,12.57693099975586,1.871431827545166
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.6,Neural vs Analytical,23.294458389282227,23.368183135986328,1.9180638790130615
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.7,Analytical vs GT,11.859476089477539,12.263692855834961,1.9029309749603271
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.7,Neural vs GT,11.945867538452148,12.340551376342773,2.0089752674102783
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.7,Neural vs Analytical,24.29322052001953,24.0416202545166,1.8832546472549438
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.8,Analytical vs GT,11.654556274414062,11.801435470581055,1.804038643836975
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.8,Neural vs GT,11.832868576049805,11.81989860534668,1.9096767902374268
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.8,Neural vs Analytical,24.297849655151367,24.490312576293945,1.8888416290283203
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.9,Analytical vs GT,11.293457984924316,11.56024169921875,1.8747793436050415
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.9,Neural vs GT,11.412572860717773,11.583765029907227,2.0215389728546143
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,0.9,Neural vs Analytical,24.440956115722656,24.404924392700195,2.1070404052734375
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,1.0,Analytical vs GT,10.78115463256836,11.064923286437988,1.9433099031448364
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,1.0,Neural vs GT,10.922477722167969,11.081769943237305,2.0209763050079346
FashionMNIST,10000,PatchMLP,inpainting_center_15,False,True,1.0,Neural vs Analytical,24.49471092224121,24.516891479492188,1.5349568128585815
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.01,Analytical vs GT,79.99998474121094,78.99615478515625,3.685967445373535
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.01,Neural vs GT,27.36665153503418,27.495168685913086,2.7700390815734863
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.01,Neural vs Analytical,27.36664581298828,27.495351791381836,2.770176887512207
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.02,Analytical vs GT,79.99618530273438,75.75144958496094,8.172335624694824
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.02,Neural vs GT,26.586162567138672,26.65534019470215,2.7871978282928467
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.02,Neural vs Analytical,26.586143493652344,26.65731430053711,2.788938283920288
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.03,Analytical vs GT,77.21912384033203,70.49008178710938,12.182178497314453
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.03,Neural vs GT,25.769248962402344,25.951974868774414,2.726775884628296
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.03,Neural vs Analytical,25.795246124267578,25.956260681152344,2.7261674404144287
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.04,Analytical vs GT,60.63558578491211,62.56839370727539,14.11012077331543
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.04,Neural vs GT,25.09274673461914,25.320077896118164,2.669678211212158
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.04,Neural vs Analytical,25.09952735900879,25.350507736206055,2.6919448375701904
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.05,Analytical vs GT,53.00426483154297,54.822113037109375,14.289875984191895
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.05,Neural vs GT,24.70428466796875,24.781234741210938,2.649618625640869
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.05,Neural vs Analytical,24.917503356933594,24.861783981323242,2.694648027420044
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.06,Analytical vs GT,43.77021789550781,46.762969970703125,11.342263221740723
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.06,Neural vs GT,24.142152786254883,24.149629592895508,2.4842209815979004
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.06,Neural vs Analytical,24.20989990234375,24.27642822265625,2.5672991275787354
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.07,Analytical vs GT,39.598838806152344,42.48514175415039,8.99521255493164
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.07,Neural vs GT,23.49053192138672,23.69402313232422,2.3649396896362305
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.07,Neural vs Analytical,23.64888572692871,23.901700973510742,2.466426372528076
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.08,Analytical vs GT,37.601993560791016,38.29035949707031,7.132312774658203
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.08,Neural vs GT,23.586549758911133,23.31760025024414,2.3224575519561768
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.08,Neural vs Analytical,23.68499183654785,23.634061813354492,2.447521448135376
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.09,Analytical vs GT,33.006675720214844,34.565757751464844,5.87012243270874
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.09,Neural vs GT,22.806434631347656,22.985788345336914,2.194305896759033
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.09,Neural vs Analytical,23.411989212036133,23.57236099243164,2.4274463653564453
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.1,Analytical vs GT,31.570173263549805,32.16789245605469,4.786316394805908
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.1,Neural vs GT,22.69310188293457,22.690767288208008,2.174184560775757
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.1,Neural vs Analytical,23.284908294677734,23.463132858276367,2.4811525344848633
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.15,Analytical vs GT,25.140731811523438,25.154319763183594,2.635928153991699
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.15,Neural vs GT,21.299224853515625,21.360118865966797,1.946847677230835
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.15,Neural vs Analytical,23.753196716308594,23.818405151367188,2.616440773010254
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.2,Analytical vs GT,21.604860305786133,21.750036239624023,2.2504963874816895
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.2,Neural vs GT,19.784364700317383,19.942668914794922,1.5803940296173096
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.2,Neural vs Analytical,24.985580444335938,24.969642639160156,2.796849489212036
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.25,Analytical vs GT,20.000267028808594,20.2923641204834,1.7892085313796997
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.25,Neural vs GT,19.27534294128418,19.309223175048828,1.5869771242141724
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.25,Neural vs Analytical,26.979228973388672,26.49569320678711,3.0590028762817383
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.3,Analytical vs GT,18.78030776977539,18.744325637817383,1.4223086833953857
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.3,Neural vs GT,18.698707580566406,18.37461280822754,1.3760603666305542
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.3,Neural vs Analytical,28.00052261352539,27.86758804321289,2.5192902088165283
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.35,Analytical vs GT,18.126014709472656,18.175336837768555,1.4349921941757202
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.35,Neural vs GT,17.858570098876953,17.872638702392578,1.4542535543441772
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.35,Neural vs Analytical,28.59773063659668,28.406641006469727,2.5666754245758057
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.4,Analytical vs GT,17.366214752197266,17.296890258789062,1.317277431488037
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.4,Neural vs GT,17.294872283935547,17.188377380371094,1.3432950973510742
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.4,Neural vs Analytical,29.480010986328125,29.442459106445312,2.118971347808838
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.45,Analytical vs GT,17.177536010742188,17.10809898376465,1.4856784343719482
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.45,Neural vs GT,16.89205551147461,17.022510528564453,1.4685447216033936
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.45,Neural vs Analytical,30.40970802307129,29.769750595092773,2.2455334663391113
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.5,Analytical vs GT,16.551315307617188,16.65924072265625,1.4570717811584473
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.5,Neural vs GT,16.567842483520508,16.5996150970459,1.4216049909591675
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.5,Neural vs Analytical,30.04851722717285,29.740976333618164,1.9203009605407715
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.6,Analytical vs GT,15.65377140045166,15.776159286499023,1.2209436893463135
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.6,Neural vs GT,15.682539939880371,15.738003730773926,1.2227942943572998
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.6,Neural vs Analytical,30.306991577148438,30.018329620361328,2.632594347000122
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.7,Analytical vs GT,15.09378433227539,15.137972831726074,1.3779044151306152
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.7,Neural vs GT,15.223930358886719,15.186580657958984,1.382395625114441
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.7,Neural vs Analytical,29.347904205322266,29.527170181274414,2.6637182235717773
FashionMNIST,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.8,Analytical vs GT,14.896361351013184,15.014659881591797,1.543575644493103
